myear,km,fuel,transmission,body,oem,model,variant,City,state,owner_type,listed_price,Color
2016,69162.0,cng,manual,hatchback,maruti,maruti wagon r,lxi cng,lucknow,uttar pradesh,first,370000,Silver
2015,45864.0,cng,manual,hatchback,maruti,maruti celerio,green vxi,mumbai,maharashtra,first,365000,Grey
2015,81506.0,cng,manual,sedan,honda,honda amaze,s plus i-vtec,new delhi,delhi,second,421000,Silver
2012,60000.0,cng,manual,hatchback,maruti,maruti wagon r,lxi cng,new delhi,delhi,first,250000,White
2010,67000.0,cng,manual,hatchback,maruti,maruti alto,green lxi (cng),new delhi,delhi,first,145000,Blue
2017,58000.0,cng,manual,hatchback,hyundai,hyundai grand i10,1.2 kappa magna cng bsiv,new delhi,delhi,first,465000,Grey
2021,54097.0,cng,manual,hatchback,maruti,maruti wagon r,cng lxi,gurgaon,haryana,first,560000,Silver
2011,67000.0,cng,manual,hatchback,maruti,maruti wagon r,lxi cng,new delhi,delhi,second,215000,Silver
2018,98083.0,cng,manual,hatchback,maruti,maruti celerio,vxi cng optional bsiv,pune,maharashtra,first,425000,Silver
2019,80000.0,cng,manual,hatchback,maruti,maruti celerio,vxi cng bsiv,agra,uttar pradesh,first,380000,White
2017,39000.0,cng,manual,muv,maruti,maruti ertiga,vxi cng,mumbai,maharashtra,first,795000,Silver
2014,34889.0,cng,manual,hatchback,maruti,maruti wagon r,lxi cng,pune,maharashtra,first,350000,Other
2021,23000.0,cng,manual,hatchback,maruti,maruti wagon r,lxi cng,ghaziabad,uttar pradesh,first,599000,White
2014,60000.0,cng,manual,hatchback,hyundai,hyundai grand i10,asta cng,new delhi,delhi,second,425000,White
2016,43413.0,cng,manual,hatchback,maruti,maruti wagon r,lxi cng,new delhi,delhi,second,317736,White
2014,67720.0,cng,manual,hatchback,maruti,maruti celerio,green vxi,pune,maharashtra,third,317400,Blue
2013,99821.0,cng,manual,hatchback,maruti,maruti wagon r,lxi cng,pune,maharashtra,first,250000,Silver
2014,67477.0,cng,manual,hatchback,maruti,maruti wagon r,lxi cng,pune,maharashtra,second,380000,Grey
2021,24158.0,cng,manual,hatchback,maruti,maruti wagon r,cng lxi,lucknow,uttar pradesh,first,600000,Silver
2014,35000.0,cng,manual,hatchback,maruti,maruti wagon r,cng lxi bsiv,new delhi,delhi,first,325000,White
2021,32530.0,cng,manual,hatchback,maruti,maruti wagon r,cng lxi,mumbai,maharashtra,second,613000,Brown
2016,90300.0,cng,manual,hatchback,maruti,maruti wagon r,cng lxi,mumbai,maharashtra,second,285000,Grey
2019,43000.0,cng,manual,hatchback,maruti,maruti wagon r,cng lxi bsiv,new delhi,delhi,first,424999,White
2021,28061.0,cng,manual,hatchback,maruti,maruti wagon r,cng lxi,bangalore,karnataka,first,613000,White
2020,40000.0,cng,manual,hatchback,maruti,maruti wagon r,cng lxi,kanpur,uttar pradesh,first,600000,White
2017,95000.0,cng,manual,minivans,maruti,maruti eeco,flexi green,mumbai,maharashtra,first,341000,White
2017,40594.0,cng,manual,hatchback,maruti,maruti wagon r,lxi cng,pune,maharashtra,first,439112,Blue
2020,37900.0,cng,manual,hatchback,maruti,maruti wagon r,lxi cng optional,mumbai,maharashtra,first,534000,Blue
2015,80000.0,cng,manual,hatchback,maruti,maruti wagon r,lxi cng,mira road,maharashtra,first,395000,Silver
2015,70000.0,cng,manual,hatchback,maruti,maruti wagon r,lxi cng,mira road,maharashtra,first,385000,White
2018,80000.0,cng,manual,hatchback,maruti,maruti wagon r,lxi cng optional,sonipat,haryana,fourth,250000,White
2018,200000.0,cng,manual,hatchback,maruti,maruti wagon r,lxi cng,mumbai,maharashtra,second,325000,Silver
2010,57000.0,cng,manual,hatchback,maruti,maruti estilo,lxi cng,mira road,maharashtra,second,195000,White
2016,30087.0,cng,manual,muv,maruti,maruti ertiga,vxi cng,gurgaon,haryana,first,600000,Grey
2017,57953.0,cng,manual,minivans,maruti,maruti eeco,cng 5 seater ac bsiv,new delhi,delhi,second,350000,White
2013,74000.0,cng,manual,hatchback,maruti,maruti wagon r,cng lxi bsiv,thane,maharashtra,second,305000,Brown
2015,70000.0,cng,manual,hatchback,maruti,maruti wagon r,lxi cng,kanpur,uttar pradesh,first,320000,Other
2014,41558.0,cng,manual,muv,maruti,maruti ertiga,vxi cng,pune,maharashtra,first,570000,Grey
2015,45834.0,cng,manual,hatchback,maruti,maruti alto k10,lxi cng,noida,uttar pradesh,first,260000,Grey
